Participant ID,Onward eligibility,Onward Reason,Onward max reimbursment amount,Return eligibility,Return reason,Return max reimbursment amount,Attending,Onward ?,Return ?,Hotel ?
1,Not Eligible,2612930621,255,Not Eligible,2450791211,255,Attending,Ticket Availed,Ticket Availed,Hotel Required
2,Not Eligible,2612930621,255,Not Eligible,2450791211,255,Attending,Ticket Availed,Ticket Availed,Hotel Required
3,Not Eligible,2612930621,255,Not Eligible,2450791211,255,Attending,Ticket Availed,Ticket Availed,Hotel Required
4,Not Eligible,2612930621,255,Not Eligible,2450791211,255,Attending,Ticket Availed,Ticket Availed,Hotel Required
5,Not Eligible,2612930621,255,Not Eligible,2450791211,255,Attending,Ticket Availed,Ticket Availed,Hotel Required
6,Not Eligible,6222901438,470,Not Eligible,2822485249,470,Attending,Ticket Availed,Ticket Availed,Hotel Required
7,Not Eligible,6222901438,470,Not Eligible,2822485249,470,Attending,Ticket Availed,Ticket Availed,Hotel Required
8,Not Eligible,6222901438,470,Not Eligible,2822485249,470,Attending,Ticket Availed,Ticket Availed,Hotel Required
9,Not Eligible,6222901438,470,Not Eligible,2822485249,470,Attending,Ticket Availed,Ticket Availed,Hotel Required
10,Not Eligible,6222901438,470,Not Eligible,2822485249,470,Attending,Ticket Availed,Ticket Availed,Hotel Required
11,Not Eligible,6522924040,660,Not Eligible,2250283292,660,Attending,Ticket Availed,Ticket Availed,Hotel Required
12,Not Eligible,6522924040,660,Not Eligible,2250283292,660,Attending,Ticket Availed,Ticket Availed,Hotel Required
13,Not Eligible,6522924040,660,Not Eligible,2250283292,660,Attending,Ticket Availed,Ticket Availed,Hotel Required
14,Not Eligible,6522924040,660,Not Eligible,2250283292,660,Attending,Ticket Availed,Ticket Availed,Hotel Required
15,Not Eligible,6522924040,660,Not Eligible,2250283292,660,Attending,Ticket Availed,Ticket Availed,Hotel Required
16,Not Eligible,2822479740,255,Not Eligible,2722482601,255,Attending,Ticket Availed,Ticket Availed,Hotel Required
17,Not Eligible,2822479740,255,Not Eligible,2722482601,255,Attending,Ticket Availed,Ticket Availed,Hotel Required
18,Not Eligible,2822479740,255,Not Eligible,2722482601,255,Attending,Ticket Availed,Ticket Availed,Hotel Required
19,Not Eligible,2822479740,255,Not Eligible,2722482601,255,Attending,Ticket Availed,Ticket Availed,Hotel Required
20,Not Eligible,2822479740,255,Not Eligible,2722482601,255,Attending,Ticket Availed,Ticket Availed,Hotel Required
21,Not Eligible,6222929675,505,Not Eligible,2350289272,505,Attending,Ticket Availed,Ticket Availed,Hotel Required
22,Not Eligible,6222929675,505,Not Eligible,2350289272,505,Attending,Ticket Availed,Ticket Availed,Hotel Required
23,Not Eligible,6222929675,505,Not Eligible,2350289272,505,Attending,Ticket Availed,Ticket Availed,Hotel Required
24,Not Eligible,6222929675,505,Not Eligible,2350289272,505,Attending,Ticket Availed,Ticket Availed,Hotel Required
25,Not Eligible,6222929675,505,Not Eligible,2350289272,505,Attending,Ticket Availed,Ticket Availed,Hotel Required
26,Eligible,Cancelled,450,Not Eligible,2350288556,450,Attending,Ticket Not Availed,Ticket Availed,Hotel Required
27,Eligible,Cancelled,450,Not Eligible,2350288556,450,Attending,Ticket Not Availed,Ticket Availed,Hotel Required
28,Eligible,Cancelled,450,Not Eligible,2350288556,450,Attending,Ticket Not Availed,Ticket Availed,Hotel Required
29,Eligible,Cancelled,450,Not Eligible,2350288556,450,Attending,Ticket Not Availed,Ticket Availed,Hotel Required
30,Eligible,Cancelled,450,Not Eligible,2350288556,450,Attending,Ticket Not Availed,Ticket Availed,Hotel Required
31,Eligible,Cancelled,575,Eligible,Cancelled,575,Attending,Ticket Not Availed,Ticket Not Availed,Hotel Not Required
32,Eligible,Cancelled,575,Eligible,Cancelled,575,Attending,Ticket Not Availed,Ticket Not Availed,Hotel Required
33,Eligible,Cancelled,575,Eligible,Cancelled,575,Attending,Ticket Not Availed,Ticket Not Availed,Hotel Required
34,Not Eligible,Cancelled,575,Not Eligible,Cancelled,575,Not Attending,NA,NA,NA
35,Not Eligible,Cancelled,575,Not Eligible,Cancelled,575,Not Attending,NA,NA,NA
36,Eligible,0,560,Eligible,0,560,Attending,NA,NA,Hotel Not Required
37,Eligible,0,560,Eligible,0,560,Attending,NA,NA,Hotel Required
38,Eligible,0,560,Eligible,0,560,Attending,NA,NA,Hotel Required
39,Eligible,0,560,Eligible,0,560,Attending,NA,NA,Hotel Required
40,Eligible,0,560,Eligible,0,560,Attending,NA,NA,Hotel Required
41,Not Eligible,6522926333,595,Not Eligible,2450825681,595,Attending,Ticket Availed,Ticket Availed,Hotel Required
42,Not Eligible,6522926333,595,Not Eligible,2450825681,595,Attending,Ticket Availed,Ticket Availed,Hotel Required
43,Not Eligible,6522926333,595,Not Eligible,2450825681,595,Attending,Ticket Availed,Ticket Availed,Hotel Required
44,Not Eligible,6522926333,595,Not Eligible,2450825681,595,Attending,Ticket Availed,Ticket Availed,Hotel Required
45,Not Eligible,6522926333,595,Not Eligible,2450825681,595,Attending,Ticket Availed,Ticket Availed,Hotel Required
46,Not Eligible,NCR,0,Not Eligible,NCR,0,Attending,NA,NA,Hotel Required
47,Not Eligible,NCR,0,Not Eligible,NCR,0,Attending,NA,NA,Hotel Required
48,Not Eligible,NCR,0,Not Eligible,NCR,0,Attending,NA,NA,Hotel Required
49,Not Eligible,NCR,0,Not Eligible,NCR,0,Attending,NA,NA,Hotel Required
50,Not Eligible,NCR,0,Not Eligible,NCR,0,Attending,NA,NA,Hotel Required
51,Not Eligible,4254893300,660,Not Eligible,2350284332,660,Attending,Ticket Availed,Ticket Availed,Hotel Required
52,Not Eligible,4254893300,660,Not Eligible,2350284332,660,Attending,Ticket Availed,Ticket Availed,Hotel Required
53,Not Eligible,Cancelled,660,Not Eligible,Cancelled,660,Not Attending,NA,NA,NA
54,Not Eligible,4254893300,660,Not Eligible,2350284332,660,Attending,Ticket Availed,Ticket Availed,Hotel Required
55,Not Eligible,Cancelled,660,Not Eligible,Cancelled,660,Not Attending,NA,NA,NA
56,Not Eligible,Cancelled,670,Not Eligible,Cancelled,670,No Response,NA,NA,NA
57,Not Eligible,Cancelled,670,Not Eligible,Cancelled,670,No Response,NA,NA,NA
58,Not Eligible,Cancelled,670,Not Eligible,Cancelled,670,No Response,NA,NA,NA
59,Not Eligible,Cancelled,670,Not Eligible,Cancelled,670,No Response,NA,NA,NA
60,Not Eligible,Cancelled,670,Not Eligible,Cancelled,670,No Response,NA,NA,NA
61,Not Eligible,4500957845,670,Not Eligible,2612959345,670,Attending,Ticket Availed,Ticket Availed,Hotel Required
62,Not Eligible,4500957845,670,Not Eligible,2612959345,670,Attending,Ticket Availed,Ticket Availed,Hotel Required
63,Not Eligible,4500957845,670,Not Eligible,2612959345,670,Attending,Ticket Availed,Ticket Availed,Hotel Required
64,Not Eligible,4500957845,670,Not Eligible,2612959345,670,Attending,Ticket Availed,Ticket Availed,Hotel Required
65,Not Eligible,4500957845,670,Not Eligible,2612959345,670,Attending,Ticket Availed,Ticket Availed,Hotel Required
66,Not Eligible,4808587734,350,Not Eligible,2450827290,350,Attending,Ticket Availed,Ticket Availed,Hotel Required
67,Not Eligible,4808587734,350,Not Eligible,2450827290,350,Attending,Ticket Availed,Ticket Availed,Hotel Required
68,Not Eligible,4808587734,350,Not Eligible,2450827290,350,Attending,Ticket Availed,Ticket Availed,Hotel Required
69,Not Eligible,4808587734,350,Not Eligible,2450827290,350,Attending,Ticket Availed,Ticket Availed,Hotel Required
70,Not Eligible,4808587734,350,Not Eligible,2450827290,350,Attending,Ticket Availed,Ticket Availed,Hotel Required
71,Eligible,Cancelled,520,Eligible,Cancelled,520,Attending,Ticket Not Availed,Ticket Not Availed,Hotel Required
72,Eligible,Cancelled,520,Eligible,Cancelled,520,Attending,Ticket Not Availed,Ticket Not Availed,Hotel Required
73,Not Eligible,Cancelled,520,Not Eligible,Cancelled,520,Not Attending,NA,NA,NA
74,Not Eligible,Cancelled,520,Not Eligible,Cancelled,520,Not Attending,NA,NA,NA
75,Not Eligible,Cancelled,520,Not Eligible,Cancelled,520,Not Attending,NA,NA,NA
76,Eligible,W/L,255,Eligible,0,255,Attending,NA,NA,Hotel Required
77,Eligible,W/L,255,Eligible,0,255,Attending,NA,NA,Hotel Required
78,Eligible,W/L,255,Eligible,0,255,Attending,NA,NA,Hotel Required
79,Eligible,W/L,255,Eligible,0,255,Attending,NA,NA,Hotel Required
80,Eligible,W/L,255,Eligible,0,255,Attending,NA,NA,Hotel Required
81,Not Eligible,6522932349,615,Not Eligible,2250292102,615,Attending,Ticket Availed,Ticket Availed,Hotel Required
82,Not Eligible,6522932349,615,Not Eligible,2250292102,615,Attending,Ticket Availed,Ticket Availed,Hotel Required
83,Not Eligible,6522932349,615,Not Eligible,2250292102,615,Attending,Ticket Availed,Ticket Availed,Hotel Required
84,Not Eligible,6522932349,615,Not Eligible,2250292102,615,Attending,Ticket Availed,Ticket Availed,Hotel Required
85,Not Eligible,6522932349,615,Not Eligible,2250292102,615,Attending,Ticket Availed,Ticket Availed,Hotel Required
86,Eligible,Cancelled,470,Eligible,Cancelled,470,Attending,Ticket Not Availed,Ticket Not Availed,Hotel Required
